room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
3108596,1219,1391772,Shared room,,Berlin,,Friedrichshain-Kreuzberg,8,4.5,6,1.0,,10.0,,Spacious 6-bed room in Berlin,2017-05-12 16:31:43.145456,52.510629,13.445792,0101000020E61000000AA359D93EE42A40D1B1834A5C414A40
265433,1219,1391772,Shared room,,Berlin,,Friedrichshain-Kreuzberg,18,4.0,6,1.0,,24.0,,Spacious 6-bed-room in Berlin ,2017-05-12 16:31:43.139806,52.510601,13.445242,0101000020E61000007C9C69C2F6E32A400727A25F5B414A40
8368762,1219,44108226,Shared room,,Berlin,,Mitte,0,0.0,2,1.0,,11.0,,1/2 people big room in wedding!,2017-05-12 16:31:43.135265,52.559589,13.380918,0101000020E61000005BEA20AF07C32A40C619C39CA0474A40
13991862,1219,83471155,Shared room,,Berlin,,Marzahn-Hellersdorf,0,0.0,4,1.0,,28.0,,ART HOLIDAYS,2017-05-12 16:31:43.132456,52.5092,13.550234,0101000020E6100000664B5645B8192B40C58F31772D414A40
8105601,1219,42794938,Shared room,,Berlin,,Marzahn-Hellersdorf,15,4.5,2,1.0,,26.0,,COMFY BEDSOFA IN A FRIENDLY PLACE!,2017-05-12 16:31:41.174804,52.513852,13.55447,0101000020E6100000EB39E97DE31B2B40FA7DFFE6C5414A40
7472197,1219,39137222,Shared room,,Berlin,,Mitte,0,0.0,2,1.0,,28.0,,Hip flat with roofgarden,2017-05-12 16:31:41.170190,52.541376,13.353351,0101000020E61000008E041A6CEAB42A406E6B0BCF4B454A40
4143368,1219,8853584,Shared room,,Berlin,,Mitte,43,4.5,3,1.0,,28.0,,Apartment with community rooms.,2017-05-12 16:31:41.165422,52.549449,13.339329,0101000020E6100000342BDB87BCAD2A40F3E8465854464A40
12238374,1219,30289253,Shared room,,Berlin,,Reinickendorf,0,0.0,2,1.0,,31.0,,Big bright room with double bed,2017-05-12 16:31:41.161319,52.564749,13.368788,0101000020E61000008350DEC7D1BC2A406FB9FAB149484A40
7729007,1219,14875792,Shared room,,Berlin,,Charlottenburg-Wilmersdorf,18,5.0,1,1.0,,34.0,,Bright studio flat in Charlotenburg,2017-05-12 16:31:41.155031,52.51291,13.266674,0101000020E61000001363997E89882A404BE5ED08A7414A40
3109015,1219,1391772,Shared room,,Berlin,,Friedrichshain-Kreuzberg,15,4.5,8,1.0,,23.0,,Schönes 8-Bettzimmer in Berlin,2017-05-12 16:31:41.152729,52.50953,13.445416,0101000020E6100000F33AE2900DE42A405A2A6F4738414A40
5138224,1219,26567168,Shared room,,Berlin,,Neukölln,0,0.0,1,1.0,,16.0,,"Furnished room, flat share with 4",2017-05-12 16:31:41.149741,52.487432,13.408638,0101000020E610000042CEFBFF38D12A400E83F92B643E4A40
3108376,1219,1391772,Shared room,,Berlin,,Friedrichshain-Kreuzberg,6,4.5,6,1.0,,24.0,,Spacious 6-bed room in Berlin,2017-05-12 16:31:41.147424,52.508567,13.444971,0101000020E61000003B56293DD3E32A40946934B918414A40
14317513,1219,87538915,Shared room,,Berlin,,Marzahn-Hellersdorf,2,0.0,2,1.0,,16.0,,Schönes Großes Wohnzimmer,2017-05-12 16:31:41.144939,52.534756,13.619944,0101000020E6100000EEB3CA4C693D2B407EAB75E272444A40
12851768,1219,7952839,Shared room,,Berlin,,Tempelhof-Schöneberg,3,5.0,1,1.0,,25.0,,Beautiful shared room in Berlin,2017-05-12 16:31:41.142722,52.499256,13.351318,0101000020E610000004FEF0F3DFB32A40782AE09EE73F4A40
11704581,1219,8250486,Shared room,,Berlin,,Mitte,12,4.5,8,1.0,,24.0,,"8-bed dorm mixed Ensuite ,Kitchen 1",2017-05-12 16:31:41.140288,52.515945,13.425104,0101000020E61000002DCC423BA7D92A4072C45A7C0A424A40
6448570,1219,2814530,Shared room,,Berlin,,Mitte,20,4.5,2,1.0,,36.0,,"Verkehrsgünstig, Altbauwohnung",2017-05-12 16:31:41.135529,52.542488,13.356858,0101000020E6100000C7A17E17B6B62A40793C2D3F70454A40
6097500,1219,8250486,Shared room,,Berlin,,Mitte,16,4.5,8,1.0,,23.0,,"8-Bedroom mixed, Ensuite , TV No. 2",2017-05-12 16:31:41.128717,52.517638,13.426354,0101000020E61000009E094D124BDA2A405B9544F641424A40
6927861,1219,19626112,Shared room,,Berlin,,Mitte,21,3.5,6,1.0,,19.0,,6 People Room with Shared Bathroom,2017-05-12 16:31:39.465251,52.52385,13.356615,0101000020E6100000AD86C43D96B62A403B014D840D434A40
11286561,1219,8250486,Shared room,,Berlin,,Mitte,13,4.5,6,1.0,,26.0,,"6-Bedroom mixed, Ensuite , TV No. 5",2017-05-12 16:31:39.462323,52.517234,13.425818,0101000020E6100000A41820D104DA2A408C3045B934424A40
17977914,1219,107858607,Shared room,,Berlin,,Tempelhof-Schöneberg,0,0.0,1,1.0,,34.0,,Cozy Shared Studio Flat @ Nollendorfplaz,2017-05-12 16:31:39.459868,52.496016,13.352981,0101000020E61000000038F6ECB9B42A407825C9737D3F4A40
11110968,1219,32121608,Shared room,,Berlin,,Pankow,0,0.0,1,1.0,,16.0,,"Sunny, cosy & central apartment",2017-05-12 16:31:39.456725,52.529142,13.421804,0101000020E6100000DBA4A2B1F6D72A405378D0ECBA434A40
15611815,1219,100212942,Shared room,,Berlin,,Mitte,2,0.0,10,1.0,,16.0,,Hostelo 10 Bett Zimmer Mix Dorm Gesundbrunnen,2017-05-12 16:31:39.451224,52.550823,13.392676,0101000020E610000023D923D40CC92A403B71395E81464A40
3108686,1219,1391772,Shared room,,Berlin,,Friedrichshain-Kreuzberg,17,4.0,8,1.0,,23.0,,Nice and big 8-bed-room in Berlin,2017-05-12 16:31:39.448579,52.509525,13.446431,0101000020E610000056D7A19A92E42A4048BF7D1D38414A40
265444,1219,1391772,Shared room,,Berlin,,Friedrichshain-Kreuzberg,69,4.5,8,1.0,,23.0,,Nice and big 8-bed-room in Berlin,2017-05-12 16:31:39.441137,52.510444,13.445326,0101000020E6100000F31DFCC401E42A403F389F3A56414A40
13924948,1219,65370713,Shared room,,Berlin,,Pankow,8,5.0,2,1.0,,29.0,,Sleeping couch in Prenzlauer Berg,2017-05-12 16:31:39.438320,52.542465,13.42358,0101000020E6100000B77A4E7ADFD82A40C11C3D7E6F454A40
7229556,1219,37713649,Shared room,,Berlin,,Neukölln,3,4.5,2,1.0,,34.0,,Cozy room in Berlin´s hippest area,2017-05-12 16:31:39.433797,52.480153,13.44126,0101000020E6100000E010AAD4ECE12A40C4094CA7753D4A40
15118282,1219,95803630,Shared room,,Berlin,,Charlottenburg-Wilmersdorf,22,4.5,1,1.0,,25.0,,"share room, colourful flat, centrally, silent",2017-05-12 16:31:39.429411,52.521327,13.32816,0101000020E6100000F2B5679604A82A40CAC2D7D7BA424A40
9956966,1219,19336587,Shared room,,Berlin,,Pankow,0,0.0,1,1.0,,13.0,,Sweet Bed inside DDRstyle Apartment,2017-05-12 16:31:39.426855,52.539986,13.415862,0101000020E61000005E4C33DDEBD42A402026E1421E454A40
2062279,1219,4059665,Shared room,,Berlin,,Pankow,18,4.5,9,1.0,,25.0,,Nach dem Event preiswert schlafen,2017-05-12 16:31:39.424107,52.607618,13.47071,0101000020E6100000E2CCAFE600F12A40003B376DC64D4A40
14081858,1219,19626112,Shared room,,Berlin,,Mitte,15,3.5,6,1.0,,24.0,,6 people room with shared bathroom,2017-05-12 16:31:39.420094,52.522303,13.356769,0101000020E61000000874266DAAB62A4025CD1FD3DA424A40
9522543,1219,43203827,Shared room,,Berlin,,Tempelhof-Schöneberg,9,4.5,1,1.0,,16.0,,"Welcome to :- "" Ostbahnhof-Berlin """,2017-05-12 16:31:37.737253,52.448378,13.363229,0101000020E6100000E6EAC726F9B92A40791F477364394A40
12892912,1219,39091371,Shared room,,Berlin,,Friedrichshain-Kreuzberg,20,5.0,1,1.0,,23.0,,Downtown Berlin - at the door,2017-05-12 16:31:37.731045,52.514837,13.443294,0101000020E6100000AB06616EF7E22A40A8E2C62DE6414A40
17681887,1219,120419002,Shared room,,Berlin,,Mitte,1,0.0,2,1.0,,30.0,,"Appartement in Wedding (2 rooms, very cozy)",2017-05-12 16:31:37.728920,52.55193,13.350777,0101000020E6100000C460FE0A99B32A4034D769A4A5464A40
17608721,1219,1150390,Shared room,,Berlin,,Mitte,0,0.0,8,1.0,,14.0,,1-OFF the GRID-DOWNTOWN WORM DORMS (;NOT A SQUAT;),2017-05-12 16:31:37.726639,52.528128,13.409303,0101000020E6100000334FAE2990D12A400B0DC4B299434A40
17277614,1219,613030,Shared room,,Berlin,,Pankow,0,0.0,1,1.0,,27.0,,Light-flooded designer loft,2017-05-12 16:31:37.724307,52.545388,13.440076,0101000020E61000004D8237A451E12A40C0D02346CF454A40
15370591,1219,98181425,Shared room,,Berlin,,Tempelhof-Schöneberg,5,4.5,4,1.0,,16.0,,20 min. bis in die Berliner City,2017-05-12 16:31:37.721296,52.447947,13.386516,0101000020E6100000F0C2D66CE5C52A40B0ABC95356394A40
14769506,1219,92131840,Shared room,,Berlin,,Tempelhof-Schöneberg,4,5.0,1,1.0,,39.0,,Gemütlich und zentral. Cosy and central.,2017-05-12 16:31:37.719067,52.480903,13.358865,0101000020E6100000AB5B3D27BDB72A402EC6C03A8E3D4A40
6664659,1219,8250486,Shared room,,Berlin,,Mitte,24,4.5,6,1.0,,24.0,,"6-Bedroom mixed, Ensuite , TV No. 4",2017-05-12 16:31:37.716177,52.517598,13.426314,0101000020E610000065A71FD445DA2A40CD3CB9A640424A40
3634155,1219,18322069,Shared room,,Berlin,,Tempelhof-Schöneberg,31,4.5,1,1.0,,16.0,,sofa in my little appartment,2017-05-12 16:31:37.708770,52.495727,13.348382,0101000020E6100000B80721205FB22A40425F7AFB733F4A40
15603598,1219,100212942,Shared room,,Berlin,,Mitte,2,0.0,16,1.0,,16.0,,8 Bis 10 Bett Schlafsaal DORM Hostelo,2017-05-12 16:31:37.705663,52.549864,13.392822,0101000020E6100000734C16F71FC92A40B69F8CF161464A40
